"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 13:17:50 UTC 2019","Mon Sep 16 13:18:48 UTC 2019","57514","","Example Feature","","Example Feature","Place an order","Place an order",""
"passed","Mon Sep 16 13:43:26 UTC 2019","Mon Sep 16 13:43:32 UTC 2019","6091","","Example Feature","","Example Feature","Create a card and move between columns","Create a card and move between columns",""
